Year,Teams,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL
2019-20,Los Angeles Lakers,Danny Green,68,24.8,8,2.9,7,41.6,1.8,4.8,36.7,0.5,0.7,68.8,0.8,2.6,3.3,1.3,0.9,1.3
2019-20,Los Angeles Lakers,JaVale McGee,68,16.6,6.6,2.9,4.5,63.7,0,0.1,50,0.8,1.2,64.6,1.8,3.9,5.7,0.5,0.8,0.5
2019-20,Minnesota Timberwolves,Jeff Teague,34,27.8,13.2,4.3,9.5,44.8,1,2.6,37.9,3.7,4.2,86.8,0.4,2.1,2.6,6.1,2.2,0.7
2019-20,Minnesota Timberwolves,Karl-Anthony Towns,35,33.9,26.5,9,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9
2019-20,Minnesota Timberwolves,Andrew Wiggins,42,34.7,22.4,8.4,18.8,44.4,2.2,6.5,33.1,3.5,4.9,72,1.1,4.1,5.2,3.7,2.5,0.7
2019-20,Minnesota Timberwolves,Treveon Graham,33,20.1,5.2,1.9,5.3,35.4,0.6,2.5,24.1,0.8,1.1,73,0.9,2.2,3,0.9,0.6,0.5
2019-20,Minnesota Timberwolves,Robert Covington,48,29.4,12.8,4.5,10.3,43.5,2.3,6.5,34.6,1.6,2,79.8,0.8,5.2,6,1.2,1.5,1.7
2019-20,New York Knicks,Julius Randle,64,32.5,19.5,7.2,15.7,46,1,3.6,27.7,4,5.5,73.3,2.4,7.4,9.7,3.1,3,0.8
2019-20,New York Knicks,R.J. Barrett,56,30.4,14.3,5.2,13,40.2,1.1,3.5,32,2.8,4.5,61.4,0.9,4.1,5,2.6,2.2,1
2019-20,New York Knicks,Elfrid Payton,45,27.7,10,4.3,9.8,43.9,0.3,1.5,20.3,1.1,1.9,57,1.2,3.6,4.7,7.2,2.1,1.6
2019-20,New York Knicks,Mitchell Robinson,61,23.2,9.7,4.1,5.6,74.2,0,0,0,1.4,2.4,56.8,3,4,7,0.6,0.6,0.9
2019-20,New York Knicks,Marcus Morris Sr. ,43,32.3,19.6,6.5,14.8,44.2,2.7,6.1,43.9,3.8,4.6,82.3,1.1,4.3,5.4,1.4,1.7,0.8
2019-20,Oklahoma City Thunder,Chris Paul,70,31.5,17.6,6.2,12.7,48.9,1.6,4.3,36.5,3.6,4,90.7,0.4,4.6,5,6.7,2.3,1.6
2019-20,Oklahoma City Thunder,Shai Gilgeous-Alexander,70,34.7,19,6.8,14.5,47.1,1.2,3.6,34.7,4.1,5.1,80.7,0.7,5.2,5.9,3.3,1.9,1.1
2019-20,Oklahoma City Thunder,Steven Adams,63,26.7,10.9,4.5,7.6,59.2,0,0,33.3,1.9,3.2,58.2,3.3,6,9.3,2.3,1.5,0.8
2019-20,Oklahoma City Thunder,Terrance Ferguson,56,22.5,3.9,1.4,3.9,35.5,0.9,3,29.2,0.3,0.4,75,0.4,0.9,1.3,0.9,0.6,0.5
2019-20,Oklahoma City Thunder,Danilo Gallinari,62,29.6,18.7,5.8,13.2,43.8,2.9,7.1,40.5,4.3,4.8,89.3,0.5,4.6,5.2,1.9,1.2,0.7
2019-20,Phoenix Suns,Devin Booker,70,35.9,26.6,9,18.3,48.9,2,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,3.8,0.7
2019-20,Phoenix Suns,Kelly Oubre Jr. ,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78,1.2,5.3,6.4,1.5,1.5,1.3
2019-20,Phoenix Suns,Ricky Rubio,65,31,13,4.4,10.6,41.5,1.2,3.3,36.1,3,3.5,86.3,0.7,4,4.7,8.8,2.7,1.4
2019-20,Phoenix Suns,Deandre Ayton,38,32.5,18.2,8.2,14.9,54.6,0.1,0.3,23.1,1.8,2.3,75.3,3.9,7.6,11.5,1.9,2.1,0.7
2019-20,Phoenix Suns,Dario Saric,66,24.7,10.7,3.9,8.2,47.6,1.3,3.6,35.7,1.6,1.9,84.4,1.5,4.6,6.2,1.9,1.3,0.6
2020-21,Atlanta Hawks,Trae Young,63,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8
2020-21,Atlanta Hawks,Deandre Hunter,23,29.5,15,5.2,10.8,48.4,1.3,4.1,32.6,3.2,3.7,85.9,0.7,4,4.8,1.9,1.3,0.8
2020-21,Atlanta Hawks,John Collins,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,1.3,0.5
2020-21,Atlanta Hawks,Cam Reddish,26,28.9,11.2,3.7,10.1,36.5,1.3,4.8,26.2,2.6,3.2,81.7,0.8,3.2,4,1.3,1.3,1.3
2020-21,Atlanta Hawks,Clint Capela,63,30.1,15.2,6.6,11,59.4,0,0,0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,1.2,0.7
2020-21,Chicago Bulls,Patrick Williams,71,27.9,9.2,3.6,7.4,48.3,0.8,1.9,39.1,1.3,1.8,72.8,0.9,3.7,4.6,1.4,1.4,0.9
2020-21,Chicago Bulls,Zach Lavine,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5,4.9,3.5,0.8
2020-21,Chicago Bulls,Coby White,69,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,0.4,3.7,4.1,4.8,2.3,0.6
2020-21,Chicago Bulls,Lauri Markkanen,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,1,0.5
2020-21,Chicago Bulls,Wendell Carter Jr. ,32,24.7,10.9,4,7.9,51.2,0.3,0.7,36.4,2.6,3.5,73.9,2.2,5.6,7.8,2.2,1.5,0.6
2020-21,Dallas Mavericks,Luka Doncic,66,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35,5.2,7.1,73,0.8,7.2,8,8.6,4.3,1
2020-21,Dallas Mavericks,Dorian Finney-Smith,60,32,9.8,3.7,7.8,47.2,2,5,39.4,0.5,0.7,75.6,1.6,3.8,5.4,1.7,0.8,0.9
2020-21,Dallas Mavericks,Kristaps Porzingis,43,30.9,20.1,7.6,15.9,47.6,2.3,6,37.6,2.7,3.2,85.5,1.9,7,8.9,1.6,1.2,0.5
2020-21,Dallas Mavericks,Josh Richardson,59,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33,1.7,1.8,91.7,0.9,2.4,3.3,2.6,1.3,1
2020-21,Dallas Mavericks,Maxi Kleber,50,26.8,7.1,2.3,5.5,42.2,1.7,4.2,41,0.7,0.7,91.9,0.9,4.3,5.2,1.4,0.6,0.5
2020-21,Golden State Warriors,Steph Curry,63,34.2,32,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5,5.5,5.8,3.4,1.2
2020-21,Golden State Warriors,Draymond Green,63,31.5,7,2.7,6,44.7,0.5,2,27,1.1,1.4,79.5,0.9,6.2,7.1,8.9,3,1.7
2020-21,Golden State Warriors,James Wiseman,39,21.4,11.5,4.9,9.4,51.9,0.3,1,31.6,1.4,2.2,62.8,1.4,4.4,5.8,0.7,1.5,0.3
2020-21,Golden State Warriors,Juan Toscano-Anderson,53,20.9,5.7,2.3,3.9,57.9,0.7,1.7,40.2,0.4,0.6,71,0.5,3.9,4.4,2.8,1.2,0.8
2020-21,Golden State Warriors,Andrew Wiggins,71,33.3,18.6,7.1,14.9,47.7,2,5.2,38,2.4,3.4,71.4,1.2,3.7,4.9,2.4,1.8,0.9
2020-21,Indiana Pacers,Malcolm Brogdon,56,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1,4.2,5.3,5.9,2.1,0.9
2020-21,Indiana Pacers,Doug McDermott,66,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.8,0.3
2020-21,Indiana Pacers,Justin Holiday,72,30.3,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,0.4,3.1,3.6,1.7,0.8,1
2020-21,Indiana Pacers,Domantas Sabonis,62,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12,6.7,3.4,1.2
2020-21,Indiana Pacers,Myles Turner,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,1.3,5.2,6.5,1,1.4,0.9
2020-21,Los Angeles Lakers,Lebron James,45,33.4,25,9.4,18.3,51.3,2.3,6.3,36.5,4,5.7,69.8,0.6,7,7.7,7.8,3.7,1.1
2020-21,Los Angeles Lakers,Anthony Davis,36,32.3,21.8,8.4,17,49.1,0.7,2.8,26,4.4,5.9,73.8,1.7,6.2,7.9,3.1,2.1,1.3
2020-21,Los Angeles Lakers,Dennis Schroder,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,0.5,3,3.5,5.8,2.7,1.1
2020-21,Los Angeles Lakers,Marc Gasol,52,19.1,5,1.7,3.7,45.4,1,2.3,41,0.7,1,72,0.7,3.4,4.1,2.1,1,0.5
2020-21,Los Angeles Lakers,Kentavious Caldwell-Pope,67,28.4,9.7,3.3,7.6,43.1,1.8,4.4,41,1.4,1.7,86.6,0.4,2.3,2.7,1.9,1,0.9
2020-21,Minnesota Timberwolves,Anthony Edwards,72,32.1,19.3,7,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1
2020-21,Minnesota Timberwolves,Karl-Anthony Towns,50,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,2.7,7.9,10.6,4.5,3.2,0.8
2020-21,Minnesota Timberwolves,Ricky Rubio,68,26.1,8.6,2.8,7.3,38.8,1,3.1,30.8,1.9,2.2,86.7,0.4,2.9,3.3,6.4,1.6,1.4
2020-21,Minnesota Timberwolves,Malik Beasley,37,32.8,19.6,7.1,16.2,44,3.5,8.7,39.9,1.8,2.2,85,0.8,3.6,4.4,2.4,1.6,0.8
2020-21,Minnesota Timberwolves,D'Angelo Russell,42,28.5,19,6.7,15.5,43.1,2.9,7.4,38.7,2.7,3.5,76.5,0.4,2.3,2.6,5.8,2.7,1.1
2020-21,New York Knicks,Julius Randle,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6,81.1,1.2,9,10.2,6,3.4,0.9
2020-21,New York Knicks,R.J. Barrett,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3,1.9,0.7
2020-21,New York Knicks,Elfrid Payton,63,23.6,10.1,4.3,9.9,43.2,0.4,1.6,28.6,1.2,1.7,68.2,1,2.4,3.4,3.2,1.6,0.7
2020-21,New York Knicks,Mitchell Robinson,31,27.5,8.3,3.7,5.7,65.3,0,0,0,0.8,1.7,49.1,3.6,4.5,8.1,0.5,0.8,1.1
2020-21,New York Knicks,Reggie Bullock,65,30,10.9,3.8,8.6,44.2,2.5,6.1,41,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.7,0.8
2020-21,Oklahoma City Thunder,Isaiah Roby,61,23.4,8.7,3.4,7,48.3,0.5,1.8,29.4,1.4,1.9,74.4,1.5,4.1,5.6,1.8,1.9,0.9
2020-21,Oklahoma City Thunder,Shai Gilgeous-Alexander,35,33.7,23.7,8.2,16.1,50.8,2,4.9,41.8,5.3,6.5,80.8,0.5,4.2,4.7,5.9,3,0.8
2020-21,Oklahoma City Thunder,Darius Bazley,55,31.2,13.7,5,12.5,39.6,1.5,5.2,29,2.3,3.2,70.2,0.9,6.3,7.2,1.8,2.2,0.5
2020-21,Oklahoma City Thunder,Luguentz Dort,52,29.7,14,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,0.7,2.9,3.6,1.7,1.5,0.9
2020-21,Oklahoma City Thunder,Al Horford,28,27.9,14.2,5.8,12.9,45,2,5.4,36.8,0.6,0.8,81.8,1,5.7,6.7,3.4,1,0.9
2020-21,Phoenix Suns,Devin Booker,67,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34,5.1,5.9,86.7,0.5,3.7,4.2,4.3,3.1,0.8
2020-21,Phoenix Suns,Chris Paul,70,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,2.2,1.4
2020-21,Phoenix Suns,Mikal Bridges,72,32.6,13.5,5,9.3,54.3,1.9,4.4,42.5,1.5,1.8,84,1.1,3.2,4.3,2.1,0.8,1.1
2020-21,Phoenix Suns,Deandre Ayton,69,30.6,14.4,6.2,10,62.6,0.1,0.3,20,1.9,2.5,76.9,3.3,7.2,10.5,1.4,1.5,0.6
2020-21,Phoenix Suns,Cameron Johnson,60,24,9.6,3.4,8.1,42,2,5.6,34.9,0.8,1,84.7,0.6,2.8,3.3,1.4,0.7,0.6
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2022-23,Atlanta Hawks,,,,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2022-23,Chicago Bulls,,,,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2022-23,Dallas Mavericks,,,,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2022-23,Golden State Warriors,,,,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2022-23,Indiana Pacers,,,,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2022-23,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2022-23,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,,,,
2022-23,New York Knicks,,,,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2022-23,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,,,,
2022-23,Phoenix Suns,,,,,,,,,,,,,,,,,,,
